date,county,state,fips,cases,deaths,,
3/29/20,Honolulu,Hawaii,15003,119,0,,
3/29/20,Kauai,Hawaii,15007,12,0,,
3/29/20,Maui,Hawaii,15009,20,0,,
3/29/20,Unknown,Hawaii,,10,0,,
3/30/20,Hawaii,Hawaii,15001,15,0,,
3/30/20,Honolulu,Hawaii,15003,139,0,,
3/30/20,Kauai,Hawaii,15007,12,0,,
3/30/20,Maui,Hawaii,15009,25,0,,
3/30/20,Unknown,Hawaii,,8,0,,
3/31/20,Hawaii,Hawaii,15001,15,0,,
3/31/20,Honolulu,Hawaii,15003,157,1,,
3/31/20,Kauai,Hawaii,15007,12,0,,
3/31/20,Maui,Hawaii,15009,25,0,,
3/31/20,Unknown,Hawaii,,15,0,,
4/1/20,Hawaii,Hawaii,15001,18,0,,
4/1/20,Honolulu,Hawaii,15003,182,1,,
4/1/20,Kauai,Hawaii,15007,12,0,,
4/1/20,Maui,Hawaii,15009,26,0,,
4/1/20,Unknown,Hawaii,,18,0,,
4/2/20,Hawaii,Hawaii,15001,18,0,,
4/2/20,Honolulu,Hawaii,15003,206,2,,
4/2/20,Kauai,Hawaii,15007,12,0,,
4/2/20,Maui,Hawaii,15009,27,0,,
4/2/20,Unknown,Hawaii,,20,0,,
4/3/20,Hawaii,Hawaii,15001,20,0,,
4/3/20,Honolulu,Hawaii,15003,237,2,,
4/3/20,Kauai,Hawaii,15007,13,0,,
4/3/20,Maui,Hawaii,15009,36,0,,
4/3/20,Unknown,Hawaii,,11,1,,
4/4/20,Hawaii,Hawaii,15001,22,0,,
4/4/20,Honolulu,Hawaii,15003,266,2,,
4/4/20,Kauai,Hawaii,15007,15,0,,
4/4/20,Maui,Hawaii,15009,38,0,,
4/4/20,Unknown,Hawaii,,8,1,,
4/5/20,Hawaii,Hawaii,15001,22,0,,
4/5/20,Honolulu,Hawaii,15003,281,2,,
4/5/20,Kauai,Hawaii,15007,16,0,,
4/5/20,Maui,Hawaii,15009,43,0,,
4/5/20,Unknown,Hawaii,,10,1,,
4/6/20,Hawaii,Hawaii,15001,23,0,,
4/6/20,Honolulu,Hawaii,15003,292,4,,
4/6/20,Kauai,Hawaii,15007,17,0,,
4/6/20,Maui,Hawaii,15009,44,1,,
4/6/20,Unknown,Hawaii,,9,0,,
4/7/20,Hawaii,Hawaii,15001,23,0,,
4/7/20,Honolulu,Hawaii,15003,312,4,,
4/7/20,Kauai,Hawaii,15007,18,0,,
4/7/20,Maui,Hawaii,15009,48,1,,
4/7/20,Unknown,Hawaii,,7,0,,
4/8/20,Hawaii,Hawaii,15001,26,0,,
4/8/20,Honolulu,Hawaii,15003,328,4,,
4/8/20,Kauai,Hawaii,15007,18,0,,
4/8/20,Maui,Hawaii,15009,54,1,,
4/8/20,Unknown,Hawaii,,7,0,,
4/9/20,Hawaii,Hawaii,15001,28,0,,
4/9/20,Honolulu,Hawaii,15003,334,4,,
4/9/20,Kauai,Hawaii,15007,18,0,,
4/9/20,Maui,Hawaii,15009,57,2,,
4/9/20,Unknown,Hawaii,,3,0,,
4/10/20,Hawaii,Hawaii,15001,31,0,,
4/10/20,Honolulu,Hawaii,15003,343,5,,
4/10/20,Kauai,Hawaii,15007,19,0,,
4/10/20,Maui,Hawaii,15009,66,3,,
4/10/20,Unknown,Hawaii,,4,0,,
4/11/20,Hawaii,Hawaii,15001,34,0,,
4/11/20,Honolulu,Hawaii,15003,348,5,,
4/11/20,Kauai,Hawaii,15007,19,0,,
4/11/20,Maui,Hawaii,15009,80,3,,
4/11/20,Unknown,Hawaii,,3,0,,
4/12/20,Hawaii,Hawaii,15001,39,0,,
4/12/20,Honolulu,Hawaii,15003,350,6,,
4/12/20,Kauai,Hawaii,15007,21,0,,
4/12/20,Maui,Hawaii,15009,84,3,,
4/12/20,Unknown,Hawaii,,3,0,,
4/13/20,Hawaii,Hawaii,15001,40,0,,
4/13/20,Honolulu,Hawaii,15003,352,6,,
4/13/20,Kauai,Hawaii,15007,21,0,,
4/13/20,Maui,Hawaii,15009,86,3,,
4/13/20,Unknown,Hawaii,,3,0,,
4/14/20,Hawaii,Hawaii,15001,41,0,,
4/14/20,Honolulu,Hawaii,15003,358,6,,
4/14/20,Kauai,Hawaii,15007,21,0,,
4/14/20,Maui,Hawaii,15009,88,3,,
4/14/20,Unknown,Hawaii,,3,0,,
4/15/20,Hawaii,Hawaii,15001,41,0,,
4/15/20,Honolulu,Hawaii,15003,369,6,,
4/15/20,Kauai,Hawaii,15007,21,0,,
4/15/20,Maui,Hawaii,15009,92,3,,
4/15/20,Unknown,Hawaii,,1,0,,
4/16/20,Hawaii,Hawaii,15001,41,0,,
4/16/20,Honolulu,Hawaii,15003,373,6,,
4/16/20,Kauai,Hawaii,15007,21,0,,
4/16/20,Maui,Hawaii,15009,95,3,,
4/16/20,Unknown,Hawaii,,5,0,,
4/17/20,Hawaii,Hawaii,15001,44,0,,
4/17/20,Honolulu,Hawaii,15003,380,6,,
4/17/20,Kauai,Hawaii,15007,21,0,,
4/17/20,Maui,Hawaii,15009,102,3,,
4/18/20,Hawaii,Hawaii,15001,61,0,,
4/18/20,Honolulu,Hawaii,15003,382,6,,
4/18/20,Kauai,Hawaii,15007,21,0,,
4/18/20,Maui,Hawaii,15009,104,3,,
4/19/20,Hawaii,Hawaii,15001,62,0,,
4/19/20,Honolulu,Hawaii,15003,385,6,,
4/19/20,Kauai,Hawaii,15007,21,0,,
4/19/20,Maui,Hawaii,15009,106,4,,
4/20/20,Hawaii,Hawaii,15001,64,0,,
4/20/20,Honolulu,Hawaii,15003,385,6,,
4/20/20,Kauai,Hawaii,15007,21,0,,
4/20/20,Maui,Hawaii,15009,108,4,,
4/21/20,Hawaii,Hawaii,15001,64,0,,
4/21/20,Honolulu,Hawaii,15003,385,7,,
4/21/20,Kauai,Hawaii,15007,21,0,,
4/21/20,Maui,Hawaii,15009,110,5,,
4/22/20,Hawaii,Hawaii,15001,67,0,,
4/22/20,Honolulu,Hawaii,15003,388,7,,
4/22/20,Kauai,Hawaii,15007,21,0,,
4/22/20,Maui,Hawaii,15009,110,5,,
4/23/20,Hawaii,Hawaii,15001,68,0,,
4/23/20,Honolulu,Hawaii,15003,389,7,,
4/23/20,Kauai,Hawaii,15007,21,0,,
4/23/20,Maui,Hawaii,15009,112,5,,
4/24/20,Hawaii,Hawaii,15001,69,0,,
4/24/20,Honolulu,Hawaii,15003,392,8,,
4/24/20,Kauai,Hawaii,15007,21,0,,
4/24/20,Maui,Hawaii,15009,113,5,,
4/25/20,Hawaii,Hawaii,15001,69,0,,
4/25/20,Honolulu,Hawaii,15003,395,9,,
4/25/20,Kauai,Hawaii,15007,21,0,,
4/25/20,Maui,Hawaii,15009,112,5,,
4/26/20,Hawaii,Hawaii,15001,70,0,,
4/26/20,Honolulu,Hawaii,15003,396,9,,
4/26/20,Kauai,Hawaii,15007,21,0,,
4/26/20,Maui,Hawaii,15009,112,5,,
4/27/20,Hawaii,Hawaii,15001,70,0,,
4/27/20,Honolulu,Hawaii,15003,396,11,,
4/27/20,Kauai,Hawaii,15007,21,0,,
4/27/20,Maui,Hawaii,15009,113,5,,
4/28/20,Hawaii,Hawaii,15001,70,0,,
4/28/20,Honolulu,Hawaii,15003,396,11,,
4/28/20,Kauai,Hawaii,15007,21,0,,
4/28/20,Maui,Hawaii,15009,115,5,,
4/29/20,Hawaii,Hawaii,15001,70,0,,
4/29/20,Honolulu,Hawaii,15003,399,11,,
4/29/20,Kauai,Hawaii,15007,21,0,,
4/29/20,Maui,Hawaii,15009,115,5,,
4/30/20,Hawaii,Hawaii,15001,73,0,,
4/30/20,Honolulu,Hawaii,15003,399,11,,
4/30/20,Kauai,Hawaii,15007,21,0,,
4/30/20,Maui,Hawaii,15009,116,5,,
5/1/20,Hawaii,Hawaii,15001,73,0,,
5/1/20,Honolulu,Hawaii,15003,400,11,,
5/1/20,Kauai,Hawaii,15007,21,0,,
5/1/20,Maui,Hawaii,15009,116,5,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
